School,GradeSpan,MeasureID,Measure,Applicability,DataStatus,LatestValue,LatestPeriod
Grand Rapids Learning Center,9-12,2.7,WIDA Growth,Applicable,Data not yet loaded,,
Grand Rapids Learning Center,9-12,3.1,Chronic Absence,Applicable,Validated data loaded,25.9%,2025
Grand Rapids Learning Center,9-12,3.2,Suspension,Applicable,Data not yet loaded,,
Grand Rapids Learning Center,9-12,3.3a,Belonging — MI Student Voice,Applicable,Data not yet loaded,,
Grand Rapids Learning Center,9-12,3.3b,Belonging — Panorama,Applicable,Data not yet loaded,,
Grand Rapids Montessori Elementary/Middle,PK-6,1.2a,Graduation Rate,Not applicable,Not applicable,,
Grand Rapids Montessori Elementary/Middle,PK-6,1.2b,On-Track Credits,Not applicable,Not applicable,,
Grand Rapids Montessori Elementary/Middle,PK-6,1.3a,SAT EBRW Mean,Applicable,Data not yet loaded,,
Grand Rapids Montessori Elementary/Middle,PK-6,1.3b,SAT Math Mean,Applicable,Data not yet loaded,,
Grand Rapids Montessori Elementary/Middle,PK-6,1.4a,AP Enrollment,Applicable,Data not yet loaded,,
Grand Rapids Montessori Elementary/Middle,PK-6,1.4b,AP Exam Completion,Applicable,Data not yet loaded,,
Grand Rapids Montessori Elementary/Middle,PK-6,1.4c,AP Exam Passing,Applicable,Data not yet loaded,,
Grand Rapids Montessori Elementary/Middle,PK-6,1.10,Postsecondary Enrollment,Applicable,Data not yet loaded,,
Grand Rapids Montessori Elementary/Middle,PK-6,2.2,NWEA MAP Growth,Applicable,Data not yet loaded,,
Grand Rapids Montessori Elementary/Middle,PK-6,2.3a,M-STEP ELA,Applicable,Data not yet loaded,,
Grand Rapids Montessori Elementary/Middle,PK-6,2.3b,M-STEP Math,Applicable,Data not yet loaded,,
Grand Rapids Montessori Elementary/Middle,PK-6,2.4,Grade 3 Reading,Applicable,Data not yet loaded,,
Grand Rapids Montessori Elementary/Middle,PK-6,2.5,Grade 8 Math,Applicable,Data not yet loaded,,
Grand Rapids Montessori Elementary/Middle,PK-6,2.6,SAT Benchmark,Not applicable,Not applicable,,
Grand Rapids Montessori Elementary/Middle,PK-6,2.7,WIDA Growth,Applicable,Data not yet loaded,,
Grand Rapids Montessori Elementary/Middle,PK-6,3.1,Chronic Absence,Applicable,Validated data loaded,19.0%,2025
Grand Rapids Montessori Elementary/Middle,PK-6,3.2,Suspension,Applicable,Data not yet loaded,,
Grand Rapids Montessori Elementary/Middle,PK-6,3.3a,Belonging — MI Student Voice,Applicable,Data not yet loaded,,
Grand Rapids Montessori Elementary/Middle,PK-6,3.3b,Belonging — Panorama,Applicable,Data not yet loaded,,
Grand Rapids Montessori Middle/High,7-12,1.2a,Graduation Rate,Applicable,Data not yet loaded,,
Grand Rapids Montessori Middle/High,7-12,1.2b,On-Track Credits,Applicable,Data not yet loaded,,
Grand Rapids Montessori Middle/High,7-12,1.3a,SAT EBRW Mean,Applicable,Data not yet loaded,,
Grand Rapids Montessori Middle/High,7-12,1.3b,SAT Math Mean,Applicable,Data not yet loaded,,
Grand Rapids Montessori Middle/High,7-12,1.4a,AP Enrollment,Applicable,Data not yet loaded,,
Grand Rapids Montessori Middle/High,7-12,1.4b,AP Exam Completion,Applicable,Data not yet loaded,,
Grand Rapids Montessori Middle/High,7-12,1.4c,AP Exam Passing,Applicable,Data not yet loaded,,
Grand Rapids Montessori Middle/High,7-12,1.10,Postsecondary Enrollment,Applicable,Data not yet loaded,,
Grand Rapids Montessori Middle/High,7-12,2.2,NWEA MAP Growth,Applicable,Data not yet loaded,,
Grand Rapids Montessori Middle/High,7-12,2.3a,M-STEP ELA,Applicable,Data not yet loaded,,
Grand Rapids Montessori Middle/High,7-12,2.3b,M-STEP Math,Applicable,Data not yet loaded,,
Grand Rapids Montessori Middle/High,7-12,2.4,Grade 3 Reading,Applicable,Data not yet loaded,,
Grand Rapids Montessori Middle/High,7-12,2.5,Grade 8 Math,Applicable,Data not yet loaded,,
Grand Rapids Montessori Middle/High,7-12,2.6,SAT Benchmark,Applicable,Data not yet loaded,,
Grand Rapids Montessori Middle/High,7-12,2.7,WIDA Growth,Applicable,Data not yet loaded,,
Grand Rapids Montessori Middle/High,7-12,3.1,Chronic Absence,Applicable,Validated data loaded,53.1%,2025
Grand Rapids Montessori Middle/High,7-12,3.2,Suspension,Applicable,Validated data loaded,+1.1%,vs. 2023-24
Grand Rapids Montessori Middle/High,7-12,3.3a,Belonging — MI Student Voice,Applicable,Data not yet loaded,,
Grand Rapids Montessori Middle/High,7-12,3.3b,Belonging — Panorama,Applicable,Data not yet loaded,,
Harrison Park,PK-8,1.2a,Graduation Rate,Not applicable,Not applicable,,
Harrison Park,PK-8,1.2b,On-Track Credits,Not applicable,Not applicable,,
Harrison Park,PK-8,1.3a,SAT EBRW Mean,Applicable,Data not yet loaded,,
Harrison Park,PK-8,1.3b,SAT Math Mean,Applicable,Data not yet loaded,,
Harrison Park,PK-8,1.4a,AP Enrollment,Applicable,Data not yet loaded,,
Harrison Park,PK-8,1.4b,AP Exam Completion,Applicable,Data not yet loaded,,
Harrison Park,PK-8,1.4c,AP Exam Passing,Applicable,Data not yet loaded,,
Harrison Park,PK-8,1.10,Postsecondary Enrollment,Applicable,Data not yet loaded,,
Harrison Park,PK-8,2.2,NWEA MAP Growth,Applicable,Data not yet loaded,,
Harrison Park,PK-8,2.3a,M-STEP ELA,Applicable,Data not yet loaded,,
Harrison Park,PK-8,2.3b,M-STEP Math,Applicable,Data not yet loaded,,
Harrison Park,PK-8,2.4,Grade 3 Reading,Not applicable,Not applicable,,
Harrison Park,PK-8,2.5,Grade 8 Math,Not applicable,Not applicable,,
Harrison Park,PK-8,2.6,SAT Benchmark,Not applicable,Not applicable,,
Harrison Park,PK-8,2.7,WIDA Growth,Applicable,Data not yet loaded,,
Harrison Park,PK-8,3.1,Chronic Absence,Applicable,Validated data loaded,54.1%,2025
Harrison Park,PK-8,3.2,Suspension,Applicable,Data not yet loaded,,
Harrison Park,PK-8,3.3a,Belonging — MI Student Voice,Applicable,Data not yet loaded,,
Harrison Park,PK-8,3.3b,Belonging — Panorama,Applicable,Data not yet loaded,,
Innovation Central High,9-12,1.2a,Graduation Rate,Applicable,Data not yet loaded,,
Innovation Central High,9-12,1.2b,On-Track Credits,Applicable,Data not yet loaded,,
Innovation Central High,9-12,1.3a,SAT EBRW Mean,Applicable,Data not yet loaded,,
Innovation Central High,9-12,1.3b,SAT Math Mean,Applicable,Data not yet loaded,,
Innovation Central High,9-12,1.4a,AP Enrollment,Applicable,Data not yet loaded,,
Innovation Central High,9-12,1.4b,AP Exam Completion,Applicable,Data not yet loaded,,
Innovation Central High,9-12,1.4c,AP Exam Passing,Applicable,Data not yet loaded,,
Innovation Central High,9-12,1.10,Postsecondary Enrollment,Applicable,Data not yet loaded,,
Innovation Central High,9-12,2.2,NWEA MAP Growth,Not applicable,Not applicable,,
Innovation Central High,9-12,2.3a,M-STEP ELA,Applicable,Data not yet loaded,,
Innovation Central High,9-12,2.3b,M-STEP Math,Applicable,Data not yet loaded,,
Innovation Central High,9-12,2.4,Grade 3 Reading,Not applicable,Not applicable,,
Innovation Central High,9-12,2.5,Grade 8 Math,Not applicable,Not applicable,,
Innovation Central High,9-12,2.6,SAT Benchmark,Applicable,Data not yet loaded,,
Innovation Central High,9-12,2.7,WIDA Growth,Applicable,Data not yet loaded,,
Innovation Central High,9-12,3.1,Chronic Absence,Applicable,Validated data loaded,70.9%,2025
Innovation Central High,9-12,3.2,Suspension,Applicable,Data not yet loaded,,
Innovation Central High,9-12,3.3a,Belonging — MI Student Voice,Applicable,Data not yet loaded,,
Innovation Central High,9-12,3.3b,Belonging — Panorama,Applicable,Data not yet loaded,,
Innovation Central Middle School,6-8,1.2a,Graduation Rate,Not applicable,Not applicable,,
Innovation Central Middle School,6-8,1.2b,On-Track Credits,Not applicable,Not applicable,,
Innovation Central Middle School,6-8,1.3a,SAT EBRW Mean,Applicable,Data not yet loaded,,
Innovation Central Middle School,6-8,1.3b,SAT Math Mean,Applicable,Data not yet loaded,,
Innovation Central Middle School,6-8,1.4a,AP Enrollment,Applicable,Data not yet loaded,,
Innovation Central Middle School,6-8,1.4b,AP Exam Completion,Applicable,Data not yet loaded,,
Innovation Central Middle School,6-8,1.4c,AP Exam Passing,Applicable,Data not yet loaded,,
Innovation Central Middle School,6-8,1.10,Postsecondary Enrollment,Applicable,Data not yet loaded,,
Innovation Central Middle School,6-8,2.2,NWEA MAP Growth,Applicable,Data not yet loaded,,
Innovation Central Middle School,6-8,2.3a,M-STEP ELA,Applicable,Data not yet loaded,,
Innovation Central Middle School,6-8,2.3b,M-STEP Math,Applicable,Data not yet loaded,,
Innovation Central Middle School,6-8,2.4,Grade 3 Reading,Applicable,Data not yet loaded,,
Innovation Central Middle School,6-8,2.5,Grade 8 Math,Applicable,Data not yet loaded,,
Innovation Central Middle School,6-8,2.6,SAT Benchmark,Not applicable,Not applicable,,
Innovation Central Middle School,6-8,2.7,WIDA Growth,Applicable,Data not yet loaded,,
Innovation Central Middle School,6-8,3.1,Chronic Absence,Applicable,Validated data loaded,67.5%,2025
Innovation Central Middle School,6-8,3.2,Suspension,Applicable,Data not yet loaded,,
Innovation Central Middle School,6-8,3.3a,Belonging — MI Student Voice,Applicable,Data not yet loaded,,
Innovation Central Middle School,6-8,3.3b,Belonging — Panorama,Applicable,Data not yet loaded,,
John Ball Park Zoo,6,1.2a,Graduation Rate,Not applicable,Not applicable,,
John Ball Park Zoo,6,1.2b,On-Track Credits,Not applicable,Not applicable,,
John Ball Park Zoo,6,1.3a,SAT EBRW Mean,Applicable,Data not yet loaded,,
John Ball Park Zoo,6,1.3b,SAT Math Mean,Applicable,Data not yet loaded,,
John Ball Park Zoo,6,1.4a,AP Enrollment,Applicable,Data not yet loaded,,
John Ball Park Zoo,6,1.4b,AP Exam Completion,Applicable,Data not yet loaded,,
John Ball Park Zoo,6,1.4c,AP Exam Passing,Applicable,Data not yet loaded,,
John Ball Park Zoo,6,1.10,Postsecondary Enrollment,Applicable,Data not yet loaded,,
John Ball Park Zoo,6,2.2,NWEA MAP Growth,Applicable,Data not yet loaded,,
John Ball Park Zoo,6,2.3a,M-STEP ELA,Applicable,Data not yet loaded,,
John Ball Park Zoo,6,2.3b,M-STEP Math,Applicable,Data not yet loaded,,
John Ball Park Zoo,6,2.4,Grade 3 Reading,Applicable,Data not yet loaded,,
John Ball Park Zoo,6,2.5,Grade 8 Math,Applicable,Data not yet loaded,,
John Ball Park Zoo,6,2.6,SAT Benchmark,Not applicable,Not applicable,,
John Ball Park Zoo,6,2.7,WIDA Growth,Applicable,Data not yet loaded,,
John Ball Park Zoo,6,3.1,Chronic Absence,Applicable,Validated data loaded,16.1%,2025
John Ball Park Zoo,6,3.2,Suspension,Applicable,Data not yet loaded,,
John Ball Park Zoo,6,3.3a,Belonging — MI Student Voice,Applicable,Data not yet loaded,,
John Ball Park Zoo,6,3.3b,Belonging — Panorama,Applicable,Data not yet loaded,,
Ken-o-Sha Park,PK-5,1.2a,Graduation Rate,Not applicable,Not applicable,,
Ken-o-Sha Park,PK-5,1.2b,On-Track Credits,Not applicable,Not applicable,,
Ken-o-Sha Park,PK-5,1.3a,SAT EBRW Mean,Applicable,Data not yet loaded,,
Ken-o-Sha Park,PK-5,1.3b,SAT Math Mean,Applicable,Data not yet loaded,,
Ken-o-Sha Park,PK-5,1.4a,AP Enrollment,Applicable,Data not yet loaded,,
Ken-o-Sha Park,PK-5,1.4b,AP Exam Completion,Applicable,Data not yet loaded,,
Ken-o-Sha Park,PK-5,1.4c,AP Exam Passing,Applicable,Data not yet loaded,,
Ken-o-Sha Park,PK-5,1.10,Postsecondary Enrollment,Applicable,Data not yet loaded,,
Ken-o-Sha Park,PK-5,2.2,NWEA MAP Growth,Applicable,Data not yet loaded,,
Ken-o-Sha Park,PK-5,2.3a,M-STEP ELA,Applicable,Data not yet loaded,,
Ken-o-Sha Park,PK-5,2.3b,M-STEP Math,Applicable,Data not yet loaded,,
Ken-o-Sha Park,PK-5,2.4,Grade 3 Reading,Applicable,Data not yet loaded,,
Ken-o-Sha Park,PK-5,2.5,Grade 8 Math,Applicable,Data not yet loaded,,
Ken-o-Sha Park,PK-5,2.6,SAT Benchmark,Not applicable,Not applicable,,
Ken-o-Sha Park,PK-5,2.7,WIDA Growth,Applicable,Data not yet loaded,,
Ken-o-Sha Park,PK-5,3.1,Chronic Absence,Applicable,Validated data loaded,34.6%,2025
Ken-o-Sha Park,PK-5,3.2,Suspension,Applicable,Data not yet loaded,,
Ken-o-Sha Park,PK-5,3.3a,Belonging — MI Student Voice,Applicable,Data not yet loaded,,
Ken-o-Sha Park,PK-5,3.3b,Belonging — Panorama,Applicable,Data not yet loaded,,
Kent Hills,PK-5,1.2a,Graduation Rate,Not applicable,Not applicable,,
Kent Hills,PK-5,1.2b,On-Track Credits,Not applicable,Not applicable,,
Kent Hills,PK-5,1.3a,SAT EBRW Mean,Applicable,Data not yet loaded,,
Kent Hills,PK-5,1.3b,SAT Math Mean,Applicable,Data not yet loaded,,
Kent Hills,PK-5,1.4a,AP Enrollment,Applicable,Data not yet loaded,,
Kent Hills,PK-5,1.4b,AP Exam Completion,Applicable,Data not yet loaded,,
Kent Hills,PK-5,1.4c,AP Exam Passing,Applicable,Data not yet loaded,,
Kent Hills,PK-5,1.10,Postsecondary Enrollment,Applicable,Data not yet loaded,,
Kent Hills,PK-5,2.2,NWEA MAP Growth,Applicable,Data not yet loaded,,
Kent Hills,PK-5,2.3a,M-STEP ELA,Applicable,Data not yet loaded,,
Kent Hills,PK-5,2.3b,M-STEP Math,Applicable,Data not yet loaded,,
Kent Hills,PK-5,2.4,Grade 3 Reading,Applicable,Data not yet loaded,,
Kent Hills,PK-5,2.5,Grade 8 Math,Applicable,Data not yet loaded,,
Kent Hills,PK-5,2.6,SAT Benchmark,Not applicable,Not applicable,,
Kent Hills,PK-5,2.7,WIDA Growth,Applicable,Data not yet loaded,,
Kent Hills,PK-5,3.1,Chronic Absence,Applicable,Validated data loaded,55.3%,2025
Kent Hills,PK-5,3.2,Suspension,Applicable,Data not yet loaded,,
Kent Hills,PK-5,3.3a,Belonging — MI Student Voice,Applicable,Data not yet loaded,,
Kent Hills,PK-5,3.3b,Belonging — Panorama,Applicable,Data not yet loaded,,
Martin Luther King Jr.,PK-8,1.2a,Graduation Rate,Not applicable,Not applicable,,
Martin Luther King Jr.,PK-8,1.2b,On-Track Credits,Not applicable,Not applicable,,
Martin Luther King Jr.,PK-8,1.3a,SAT EBRW Mean,Applicable,Data not yet loaded,,
Martin Luther King Jr.,PK-8,1.3b,SAT Math Mean,Applicable,Data not yet loaded,,
Martin Luther King Jr.,PK-8,1.4a,AP Enrollment,Applicable,Data not yet loaded,,
Martin Luther King Jr.,PK-8,1.4b,AP Exam Completion,Applicable,Data not yet loaded,,
Martin Luther King Jr.,PK-8,1.4c,AP Exam Passing,Applicable,Data not yet loaded,,
Martin Luther King Jr.,PK-8,1.10,Postsecondary Enrollment,Applicable,Data not yet loaded,,
Martin Luther King Jr.,PK-8,2.2,NWEA MAP Growth,Applicable,Data not yet loaded,,
Martin Luther King Jr.,PK-8,2.3a,M-STEP ELA,Applicable,Data not yet loaded,,
Martin Luther King Jr.,PK-8,2.3b,M-STEP Math,Applicable,Data not yet loaded,,
Martin Luther King Jr.,PK-8,2.4,Grade 3 Reading,Not applicable,Not applicable,,
Martin Luther King Jr.,PK-8,2.5,Grade 8 Math,Not applicable,Not applicable,,
Martin Luther King Jr.,PK-8,2.6,SAT Benchmark,Not applicable,Not applicable,,
Martin Luther King Jr.,PK-8,2.7,WIDA Growth,Applicable,Data not yet loaded,,
Martin Luther King Jr.,PK-8,3.1,Chronic Absence,Applicable,Validated data loaded,49.0%,2025
Martin Luther King Jr.,PK-8,3.2,Suspension,Applicable,Data not yet loaded,,
Martin Luther King Jr.,PK-8,3.3a,Belonging — MI Student Voice,Applicable,Data not yet loaded,,
Martin Luther King Jr.,PK-8,3.3b,Belonging — Panorama,Applicable,Data not yet loaded,,
Mulick Park,PK-5,1.2a,Graduation Rate,Not applicable,Not applicable,,
Mulick Park,PK-5,1.2b,On-Track Credits,Not applicable,Not applicable,,
Mulick Park,PK-5,1.3a,SAT EBRW Mean,Applicable,Data not yet loaded,,
Mulick Park,PK-5,1.3b,SAT Math Mean,Applicable,Data not yet loaded,,
Mulick Park,PK-5,1.4a,AP Enrollment,Applicable,Data not yet loaded,,
Mulick Park,PK-5,1.4b,AP Exam Completion,Applicable,Data not yet loaded,,
Mulick Park,PK-5,1.4c,AP Exam Passing,Applicable,Data not yet loaded,,
Mulick Park,PK-5,1.10,Postsecondary Enrollment,Applicable,Data not yet loaded,,
Mulick Park,PK-5,2.2,NWEA MAP Growth,Applicable,Data not yet loaded,,
Mulick Park,PK-5,2.3a,M-STEP ELA,Applicable,Data not yet loaded,,
Mulick Park,PK-5,2.3b,M-STEP Math,Applicable,Data not yet loaded,,
Mulick Park,PK-5,2.4,Grade 3 Reading,Applicable,Data not yet loaded,,
Mulick Park,PK-5,2.5,Grade 8 Math,Applicable,Data not yet loaded,,
Mulick Park,PK-5,2.6,SAT Benchmark,Not applicable,Not applicable,,
Mulick Park,PK-5,2.7,WIDA Growth,Applicable,Data not yet loaded,,
Mulick Park,PK-5,3.1,Chronic Absence,Applicable,Validated data loaded,39.0%,2025
Mulick Park,PK-5,3.2,Suspension,Applicable,Data not yet loaded,,
Mulick Park,PK-5,3.3a,Belonging — MI Student Voice,Applicable,Data not yet loaded,,
Mulick Park,PK-5,3.3b,Belonging — Panorama,Applicable,Data not yet loaded,,
North Park Montessori,K-8,1.2a,Graduation Rate,Not applicable,Not applicable,,
North Park Montessori,K-8,1.2b,On-Track Credits,Not applicable,Not applicable,,
North Park Montessori,K-8,1.3a,SAT EBRW Mean,Applicable,Data not yet loaded,,
North Park Montessori,K-8,1.3b,SAT Math Mean,Applicable,Data not yet loaded,,
North Park Montessori,K-8,1.4a,AP Enrollment,Applicable,Data not yet loaded,,
North Park Montessori,K-8,1.4b,AP Exam Completion,Applicable,Data not yet loaded,,
North Park Montessori,K-8,1.4c,AP Exam Passing,Applicable,Data not yet loaded,,
North Park Montessori,K-8,1.10,Postsecondary Enrollment,Applicable,Data not yet loaded,,
North Park Montessori,K-8,2.2,NWEA MAP Growth,Applicable,Data not yet loaded,,
North Park Montessori,K-8,2.3a,M-STEP ELA,Applicable,Data not yet loaded,,
North Park Montessori,K-8,2.3b,M-STEP Math,Applicable,Data not yet loaded,,
North Park Montessori,K-8,2.4,Grade 3 Reading,Not applicable,Not applicable,,
North Park Montessori,K-8,2.5,Grade 8 Math,Not applicable,Not applicable,,
North Park Montessori,K-8,2.6,SAT Benchmark,Not applicable,Not applicable,,
North Park Montessori,K-8,2.7,WIDA Growth,Applicable,Data not yet loaded,,
North Park Montessori,K-8,3.1,Chronic Absence,Applicable,Validated data loaded,12.5%,2025
North Park Montessori,K-8,3.2,Suspension,Applicable,Data not yet loaded,,
North Park Montessori,K-8,3.3a,Belonging — MI Student Voice,Applicable,Data not yet loaded,,
North Park Montessori,K-8,3.3b,Belonging — Panorama,Applicable,Data not yet loaded,,
Ottawa Hills High,9-12,1.2a,Graduation Rate,Applicable,Data not yet loaded,,
Ottawa Hills High,9-12,1.2b,On-Track Credits,Applicable,Data not yet loaded,,
Ottawa Hills High,9-12,1.3a,SAT EBRW Mean,Applicable,Data not yet loaded,,
Ottawa Hills High,9-12,1.3b,SAT Math Mean,Applicable,Data not yet loaded,,
Ottawa Hills High,9-12,1.4a,AP Enrollment,Applicable,Data not yet loaded,,
Ottawa Hills High,9-12,1.4b,AP Exam Completion,Applicable,Data not yet loaded,,
Ottawa Hills High,9-12,1.4c,AP Exam Passing,Applicable,Data not yet loaded,,
Ottawa Hills High,9-12,1.10,Postsecondary Enrollment,Applicable,Data not yet loaded,,
Ottawa Hills High,9-12,2.2,NWEA MAP Growth,Not applicable,Not applicable,,
Ottawa Hills High,9-12,2.3a,M-STEP ELA,Applicable,Data not yet loaded,,
Ottawa Hills High,9-12,2.3b,M-STEP Math,Applicable,Data not yet loaded,,
Ottawa Hills High,9-12,2.4,Grade 3 Reading,Not applicable,Not applicable,,
Ottawa Hills High,9-12,2.5,Grade 8 Math,Not applicable,Not applicable,,
Ottawa Hills High,9-12,2.6,SAT Benchmark,Applicable,Data not yet loaded,,
Ottawa Hills High,9-12,2.7,WIDA Growth,Applicable,Data not yet loaded,,
Ottawa Hills High,9-12,3.1,Chronic Absence,Applicable,Validated data loaded,72.7%,2025
Ottawa Hills High,9-12,3.2,Suspension,Applicable,Data not yet loaded,,
Ottawa Hills High,9-12,3.3a,Belonging — MI Student Voice,Applicable,Data not yet loaded,,
Ottawa Hills High,9-12,3.3b,Belonging — Panorama,Applicable,Data not yet loaded,,
Ottawa Hills Middle School,6-8,1.2a,Graduation Rate,Not applicable,Not applicable,,
Ottawa Hills Middle School,6-8,1.2b,On-Track Credits,Not applicable,Not applicable,,
Ottawa Hills Middle School,6-8,1.3a,SAT EBRW Mean,Applicable,Data not yet loaded,,
Ottawa Hills Middle School,6-8,1.3b,SAT Math Mean,Applicable,Data not yet loaded,,
Ottawa Hills Middle School,6-8,1.4a,AP Enrollment,Applicable,Data not yet loaded,,
Ottawa Hills Middle School,6-8,1.4b,AP Exam Completion,Applicable,Data not yet loaded,,
Ottawa Hills Middle School,6-8,1.4c,AP Exam Passing,Applicable,Data not yet loaded,,
Ottawa Hills Middle School,6-8,1.10,Postsecondary Enrollment,Applicable,Data not yet loaded,,
Ottawa Hills Middle School,6-8,2.2,NWEA MAP Growth,Applicable,Data not yet loaded,,
Ottawa Hills Middle School,6-8,2.3a,M-STEP ELA,Applicable,Data not yet loaded,,
Ottawa Hills Middle School,6-8,2.3b,M-STEP Math,Applicable,Data not yet loaded,,
Ottawa Hills Middle School,6-8,2.4,Grade 3 Reading,Applicable,Data not yet loaded,,
Ottawa Hills Middle School,6-8,2.5,Grade 8 Math,Applicable,Data not yet loaded,,
Ottawa Hills Middle School,6-8,2.6,SAT Benchmark,Not applicable,Not applicable,,
Ottawa Hills Middle School,6-8,2.7,WIDA Growth,Applicable,Data not yet loaded,,
Ottawa Hills Middle School,6-8,3.1,Chronic Absence,Applicable,Validated data loaded,69.4%,2025
Ottawa Hills Middle School,6-8,3.2,Suspension,Applicable,Data not yet loaded,,
Ottawa Hills Middle School,6-8,3.3a,Belonging — MI Student Voice,Applicable,Data not yet loaded,,
Ottawa Hills Middle School,6-8,3.3b,Belonging — Panorama,Applicable,Data not yet loaded,,
Palmer,PK-5,1.2a,Graduation Rate,Not applicable,Not applicable,,
Palmer,PK-5,1.2b,On-Track Credits,Not applicable,Not applicable,,
Palmer,PK-5,1.3a,SAT EBRW Mean,Applicable,Data not yet loaded,,
Palmer,PK-5,1.3b,SAT Math Mean,Applicable,Data not yet loaded,,
Palmer,PK-5,1.4a,AP Enrollment,Applicable,Data not yet loaded,,
Palmer,PK-5,1.4b,AP Exam Completion,Applicable,Data not yet loaded,,
Palmer,PK-5,1.4c,AP Exam Passing,Applicable,Data not yet loaded,,
Palmer,PK-5,1.10,Postsecondary Enrollment,Applicable,Data not yet loaded,,
Palmer,PK-5,2.2,NWEA MAP Growth,Applicable,Data not yet loaded,,
Palmer,PK-5,2.3a,M-STEP ELA,Applicable,Data not yet loaded,,
Palmer,PK-5,2.3b,M-STEP Math,Applicable,Data not yet loaded,,
Palmer,PK-5,2.4,Grade 3 Reading,Applicable,Data not yet loaded,,
Palmer,PK-5,2.5,Grade 8 Math,Applicable,Data not yet loaded,,
Palmer,PK-5,2.6,SAT Benchmark,Not applicable,Not applicable,,
Palmer,PK-5,2.7,WIDA Growth,Applicable,Data not yet loaded,,
Palmer,PK-5,3.1,Chronic Absence,Applicable,Validated data loaded,39.6%,2025
Palmer,PK-5,3.2,Suspension,Applicable,Data not yet loaded,,
Palmer,PK-5,3.3a,Belonging — MI Student Voice,Applicable,Data not yet loaded,,
Palmer,PK-5,3.3b,Belonging — Panorama,Applicable,Data not yet loaded,,
Public Museum High,9-12,1.2a,Graduation Rate,Applicable,Data not yet loaded,,
Public Museum High,9-12,1.2b,On-Track Credits,Applicable,Data not yet loaded,,
Public Museum High,9-12,1.3a,SAT EBRW Mean,Applicable,Data not yet loaded,,
Public Museum High,9-12,1.3b,SAT Math Mean,Applicable,Data not yet loaded,,
Public Museum High,9-12,1.4a,AP Enrollment,Applicable,Data not yet loaded,,
Public Museum High,9-12,1.4b,AP Exam Completion,Applicable,Data not yet loaded,,
Public Museum High,9-12,1.4c,AP Exam Passing,Applicable,Data not yet loaded,,
Public Museum High,9-12,1.10,Postsecondary Enrollment,Applicable,Data not yet loaded,,
Public Museum High,9-12,2.2,NWEA MAP Growth,Not applicable,Not applicable,,
Public Museum High,9-12,2.3a,M-STEP ELA,Applicable,Data not yet loaded,,
Public Museum High,9-12,2.3b,M-STEP Math,Applicable,Data not yet loaded,,
Public Museum High,9-12,2.4,Grade 3 Reading,Not applicable,Not applicable,,
Public Museum High,9-12,2.5,Grade 8 Math,Not applicable,Not applicable,,
Public Museum High,9-12,2.6,SAT Benchmark,Applicable,Data not yet loaded,,
Public Museum High,9-12,2.7,WIDA Growth,Applicable,Data not yet loaded,,
Public Museum High,9-12,3.1,Chronic Absence,Applicable,Validated data loaded,44.7%,2025
Public Museum High,9-12,3.2,Suspension,Applicable,Data not yet loaded,,
Public Museum High,9-12,3.3a,Belonging — MI Student Voice,Applicable,Data not yet loaded,,
Public Museum High,9-12,3.3b,Belonging — Panorama,Applicable,Data not yet loaded,,
Public Museum Middle,6-8,1.2a,Graduation Rate,Not applicable,Not applicable,,
Public Museum Middle,6-8,1.2b,On-Track Credits,Not applicable,Not applicable,,
Public Museum Middle,6-8,1.3a,SAT EBRW Mean,Applicable,Data not yet loaded,,
Public Museum Middle,6-8,1.3b,SAT Math Mean,Applicable,Data not yet loaded,,
Public Museum Middle,6-8,1.4a,AP Enrollment,Applicable,Data not yet loaded,,
Public Museum Middle,6-8,1.4b,AP Exam Completion,Applicable,Data not yet loaded,,
Public Museum Middle,6-8,1.4c,AP Exam Passing,Applicable,Data not yet loaded,,
Public Museum Middle,6-8,1.10,Postsecondary Enrollment,Applicable,Data not yet loaded,,
Public Museum Middle,6-8,2.2,NWEA MAP Growth,Applicable,Data not yet loaded,,
Public Museum Middle,6-8,2.3a,M-STEP ELA,Applicable,Data not yet loaded,,
Public Museum Middle,6-8,2.3b,M-STEP Math,Applicable,Data not yet loaded,,
Public Museum Middle,6-8,2.4,Grade 3 Reading,Applicable,Data not yet loaded,,
Public Museum Middle,6-8,2.5,Grade 8 Math,Applicable,Data not yet loaded,,
Public Museum Middle,6-8,2.6,SAT Benchmark,Not applicable,Not applicable,,
Public Museum Middle,6-8,2.7,WIDA Growth,Applicable,Data not yet loaded,,
Public Museum Middle,6-8,3.1,Chronic Absence,Applicable,Validated data loaded,43.1%,2025
Public Museum Middle,6-8,3.2,Suspension,Applicable,Data not yet loaded,,
Public Museum Middle,6-8,3.3a,Belonging — MI Student Voice,Applicable,Data not yet loaded,,
Public Museum Middle,6-8,3.3b,Belonging — Panorama,Applicable,Data not yet loaded,,
Ridgemoor Park Montessori,PK-6,1.2a,Graduation Rate,Not applicable,Not applicable,,
Ridgemoor Park Montessori,PK-6,1.2b,On-Track Credits,Not applicable,Not applicable,,
Ridgemoor Park Montessori,PK-6,1.3a,SAT EBRW Mean,Applicable,Data not yet loaded,,
Ridgemoor Park Montessori,PK-6,1.3b,SAT Math Mean,Applicable,Data not yet loaded,,
Ridgemoor Park Montessori,PK-6,1.4a,AP Enrollment,Applicable,Data not yet loaded,,
