School,GradeSpan,MeasureID,Measure,Applicability,DataStatus,LatestValue,LatestPeriod
Gerald R. Ford Academic Center,PK-8,1.4b,AP Exam Completion,Applicable,Data not yet loaded,,
Gerald R. Ford Academic Center,PK-8,1.4c,AP Exam Passing,Applicable,Data not yet loaded,,
Gerald R. Ford Academic Center,PK-8,1.10,Postsecondary Enrollment,Applicable,Data not yet loaded,,
Gerald R. Ford Academic Center,PK-8,2.2,NWEA MAP Growth,Applicable,Data not yet loaded,,
Gerald R. Ford Academic Center,PK-8,2.3a,M-STEP ELA,Applicable,Data not yet loaded,,
Gerald R. Ford Academic Center,PK-8,2.3b,M-STEP Math,Applicable,Data not yet loaded,,
Gerald R. Ford Academic Center,PK-8,2.4,Grade 3 Reading,Not applicable,Not applicable,,
Gerald R. Ford Academic Center,PK-8,2.5,Grade 8 Math,Not applicable,Not applicable,,
Gerald R. Ford Academic Center,PK-8,2.6,SAT Benchmark,Not applicable,Not applicable,,
Gerald R. Ford Academic Center,PK-8,2.7,WIDA Growth,Applicable,Data not yet loaded,,
Gerald R. Ford Academic Center,PK-8,3.1,Chronic Absence,Applicable,Validated data loaded,25.0%,2025
Gerald R. Ford Academic Center,PK-8,3.2,Suspension,Applicable,Data not yet loaded,,
Gerald R. Ford Academic Center,PK-8,3.3a,Belonging — MI Student Voice,Applicable,Data not yet loaded,,
Gerald R. Ford Academic Center,PK-8,3.3b,Belonging — Panorama,Applicable,Data not yet loaded,,
Grand Rapids Learning Center,9-12,1.2a,Graduation Rate,Applicable,Data not yet loaded,,
Grand Rapids Learning Center,9-12,1.2b,On-Track Credits,Applicable,Data not yet loaded,,
Grand Rapids Learning Center,9-12,1.3a,SAT EBRW Mean,Applicable,Data not yet loaded,,
Grand Rapids Learning Center,9-12,1.3b,SAT Math Mean,Applicable,Data not yet loaded,,
Grand Rapids Learning Center,9-12,1.4a,AP Enrollment,Applicable,Data not yet loaded,,
Grand Rapids Learning Center,9-12,1.4b,AP Exam Completion,Applicable,Data not yet loaded,,
Grand Rapids Learning Center,9-12,1.4c,AP Exam Passing,Applicable,Data not yet loaded,,
Grand Rapids Learning Center,9-12,1.10,Postsecondary Enrollment,Applicable,Data not yet loaded,,
Grand Rapids Learning Center,9-12,2.2,NWEA MAP Growth,Not applicable,Not applicable,,
Grand Rapids Learning Center,9-12,2.3a,M-STEP ELA,Applicable,Data not yet loaded,,
Grand Rapids Learning Center,9-12,2.3b,M-STEP Math,Applicable,Data not yet loaded,,
Grand Rapids Learning Center,9-12,2.4,Grade 3 Reading,Not applicable,Not applicable,,
Grand Rapids Learning Center,9-12,2.5,Grade 8 Math,Not applicable,Not applicable,,
Grand Rapids Learning Center,9-12,2.6,SAT Benchmark,Applicable,Data not yet loaded,,
