School,GradeSpan,MeasureID,Measure,Domain,Applicability,Reason
North Park Montessori,K-8,1.4c,AP Exam Passing,Graduation & Advancement,Applicable,District ENDS measure
North Park Montessori,K-8,1.10,Postsecondary Enrollment,Graduation & Advancement,Applicable,District ENDS measure
North Park Montessori,K-8,2.2,NWEA MAP Growth,Academic Achievement,Applicable,K–8 growth/achievement
North Park Montessori,K-8,2.3a,M-STEP ELA,Academic Achievement,Applicable,District ENDS measure
North Park Montessori,K-8,2.3b,M-STEP Math,Academic Achievement,Applicable,District ENDS measure
North Park Montessori,K-8,2.4,Grade 3 Reading,Academic Achievement,Not applicable,M-STEP grades 3–7
North Park Montessori,K-8,2.5,Grade 8 Math,Academic Achievement,Not applicable,M-STEP grades 3–7
North Park Montessori,K-8,2.6,SAT Benchmark,Academic Achievement,Not applicable,Grade 11 SAT
North Park Montessori,K-8,2.7,WIDA Growth,Academic Achievement,Applicable,District ENDS measure
North Park Montessori,K-8,3.1,Chronic Absence,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
North Park Montessori,K-8,3.2,Suspension,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
North Park Montessori,K-8,3.3a,Belonging — MI Student Voice,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
North Park Montessori,K-8,3.3b,Belonging — Panorama,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Ottawa Hills High,9-12,1.2a,Graduation Rate,Graduation & Advancement,Applicable,High-school graduation outcome
Ottawa Hills High,9-12,1.2b,On-Track Credits,Graduation & Advancement,Applicable,High-school postsecondary readiness
Ottawa Hills High,9-12,1.3a,SAT EBRW Mean,Graduation & Advancement,Applicable,District ENDS measure
Ottawa Hills High,9-12,1.3b,SAT Math Mean,Graduation & Advancement,Applicable,District ENDS measure
Ottawa Hills High,9-12,1.4a,AP Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Ottawa Hills High,9-12,1.4b,AP Exam Completion,Graduation & Advancement,Applicable,District ENDS measure
Ottawa Hills High,9-12,1.4c,AP Exam Passing,Graduation & Advancement,Applicable,District ENDS measure
Ottawa Hills High,9-12,1.10,Postsecondary Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Ottawa Hills High,9-12,2.2,NWEA MAP Growth,Academic Achievement,Not applicable,K–8 growth/achievement
Ottawa Hills High,9-12,2.3a,M-STEP ELA,Academic Achievement,Applicable,District ENDS measure
Ottawa Hills High,9-12,2.3b,M-STEP Math,Academic Achievement,Applicable,District ENDS measure
Ottawa Hills High,9-12,2.4,Grade 3 Reading,Academic Achievement,Not applicable,M-STEP grades 3–7
Ottawa Hills High,9-12,2.5,Grade 8 Math,Academic Achievement,Not applicable,M-STEP grades 3–7
Ottawa Hills High,9-12,2.6,SAT Benchmark,Academic Achievement,Applicable,Grade 11 SAT
Ottawa Hills High,9-12,2.7,WIDA Growth,Academic Achievement,Applicable,District ENDS measure
Ottawa Hills High,9-12,3.1,Chronic Absence,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Ottawa Hills High,9-12,3.2,Suspension,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Ottawa Hills High,9-12,3.3a,Belonging — MI Student Voice,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Ottawa Hills High,9-12,3.3b,Belonging — Panorama,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Ottawa Hills Middle School,6-8,1.2a,Graduation Rate,Graduation & Advancement,Not applicable,High-school graduation outcome
Ottawa Hills Middle School,6-8,1.2b,On-Track Credits,Graduation & Advancement,Not applicable,High-school postsecondary readiness
Ottawa Hills Middle School,6-8,1.3a,SAT EBRW Mean,Graduation & Advancement,Applicable,District ENDS measure
Ottawa Hills Middle School,6-8,1.3b,SAT Math Mean,Graduation & Advancement,Applicable,District ENDS measure
Ottawa Hills Middle School,6-8,1.4a,AP Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Ottawa Hills Middle School,6-8,1.4b,AP Exam Completion,Graduation & Advancement,Applicable,District ENDS measure
Ottawa Hills Middle School,6-8,1.4c,AP Exam Passing,Graduation & Advancement,Applicable,District ENDS measure
Ottawa Hills Middle School,6-8,1.10,Postsecondary Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Ottawa Hills Middle School,6-8,2.2,NWEA MAP Growth,Academic Achievement,Applicable,K–8 growth/achievement
Ottawa Hills Middle School,6-8,2.3a,M-STEP ELA,Academic Achievement,Applicable,District ENDS measure
Ottawa Hills Middle School,6-8,2.3b,M-STEP Math,Academic Achievement,Applicable,District ENDS measure
Ottawa Hills Middle School,6-8,2.4,Grade 3 Reading,Academic Achievement,Applicable,M-STEP grades 3–7
Ottawa Hills Middle School,6-8,2.5,Grade 8 Math,Academic Achievement,Applicable,M-STEP grades 3–7
Ottawa Hills Middle School,6-8,2.6,SAT Benchmark,Academic Achievement,Not applicable,Grade 11 SAT
Ottawa Hills Middle School,6-8,2.7,WIDA Growth,Academic Achievement,Applicable,District ENDS measure
Ottawa Hills Middle School,6-8,3.1,Chronic Absence,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Ottawa Hills Middle School,6-8,3.2,Suspension,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Ottawa Hills Middle School,6-8,3.3a,Belonging — MI Student Voice,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Ottawa Hills Middle School,6-8,3.3b,Belonging — Panorama,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Palmer,PK-5,1.2a,Graduation Rate,Graduation & Advancement,Not applicable,High-school graduation outcome
Palmer,PK-5,1.2b,On-Track Credits,Graduation & Advancement,Not applicable,High-school postsecondary readiness
Palmer,PK-5,1.3a,SAT EBRW Mean,Graduation & Advancement,Applicable,District ENDS measure
Palmer,PK-5,1.3b,SAT Math Mean,Graduation & Advancement,Applicable,District ENDS measure
Palmer,PK-5,1.4a,AP Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Palmer,PK-5,1.4b,AP Exam Completion,Graduation & Advancement,Applicable,District ENDS measure
Palmer,PK-5,1.4c,AP Exam Passing,Graduation & Advancement,Applicable,District ENDS measure
Palmer,PK-5,1.10,Postsecondary Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Palmer,PK-5,2.2,NWEA MAP Growth,Academic Achievement,Applicable,K–8 growth/achievement
Palmer,PK-5,2.3a,M-STEP ELA,Academic Achievement,Applicable,District ENDS measure
Palmer,PK-5,2.3b,M-STEP Math,Academic Achievement,Applicable,District ENDS measure
Palmer,PK-5,2.4,Grade 3 Reading,Academic Achievement,Applicable,M-STEP grades 3–7
Palmer,PK-5,2.5,Grade 8 Math,Academic Achievement,Applicable,M-STEP grades 3–7
Palmer,PK-5,2.6,SAT Benchmark,Academic Achievement,Not applicable,Grade 11 SAT
Palmer,PK-5,2.7,WIDA Growth,Academic Achievement,Applicable,District ENDS measure
Palmer,PK-5,3.1,Chronic Absence,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Palmer,PK-5,3.2,Suspension,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Palmer,PK-5,3.3a,Belonging — MI Student Voice,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Palmer,PK-5,3.3b,Belonging — Panorama,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Public Museum High,9-12,1.2a,Graduation Rate,Graduation & Advancement,Applicable,High-school graduation outcome
Public Museum High,9-12,1.2b,On-Track Credits,Graduation & Advancement,Applicable,High-school postsecondary readiness
Public Museum High,9-12,1.3a,SAT EBRW Mean,Graduation & Advancement,Applicable,District ENDS measure
Public Museum High,9-12,1.3b,SAT Math Mean,Graduation & Advancement,Applicable,District ENDS measure
Public Museum High,9-12,1.4a,AP Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Public Museum High,9-12,1.4b,AP Exam Completion,Graduation & Advancement,Applicable,District ENDS measure
Public Museum High,9-12,1.4c,AP Exam Passing,Graduation & Advancement,Applicable,District ENDS measure
Public Museum High,9-12,1.10,Postsecondary Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Public Museum High,9-12,2.2,NWEA MAP Growth,Academic Achievement,Not applicable,K–8 growth/achievement
Public Museum High,9-12,2.3a,M-STEP ELA,Academic Achievement,Applicable,District ENDS measure
Public Museum High,9-12,2.3b,M-STEP Math,Academic Achievement,Applicable,District ENDS measure
Public Museum High,9-12,2.4,Grade 3 Reading,Academic Achievement,Not applicable,M-STEP grades 3–7
Public Museum High,9-12,2.5,Grade 8 Math,Academic Achievement,Not applicable,M-STEP grades 3–7
Public Museum High,9-12,2.6,SAT Benchmark,Academic Achievement,Applicable,Grade 11 SAT
Public Museum High,9-12,2.7,WIDA Growth,Academic Achievement,Applicable,District ENDS measure
Public Museum High,9-12,3.1,Chronic Absence,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Public Museum High,9-12,3.2,Suspension,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Public Museum High,9-12,3.3a,Belonging — MI Student Voice,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Public Museum High,9-12,3.3b,Belonging — Panorama,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Public Museum Middle,6-8,1.2a,Graduation Rate,Graduation & Advancement,Not applicable,High-school graduation outcome
Public Museum Middle,6-8,1.2b,On-Track Credits,Graduation & Advancement,Not applicable,High-school postsecondary readiness
Public Museum Middle,6-8,1.3a,SAT EBRW Mean,Graduation & Advancement,Applicable,District ENDS measure
Public Museum Middle,6-8,1.3b,SAT Math Mean,Graduation & Advancement,Applicable,District ENDS measure
Public Museum Middle,6-8,1.4a,AP Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Public Museum Middle,6-8,1.4b,AP Exam Completion,Graduation & Advancement,Applicable,District ENDS measure
Public Museum Middle,6-8,1.4c,AP Exam Passing,Graduation & Advancement,Applicable,District ENDS measure
Public Museum Middle,6-8,1.10,Postsecondary Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Public Museum Middle,6-8,2.2,NWEA MAP Growth,Academic Achievement,Applicable,K–8 growth/achievement
Public Museum Middle,6-8,2.3a,M-STEP ELA,Academic Achievement,Applicable,District ENDS measure
Public Museum Middle,6-8,2.3b,M-STEP Math,Academic Achievement,Applicable,District ENDS measure
Public Museum Middle,6-8,2.4,Grade 3 Reading,Academic Achievement,Applicable,M-STEP grades 3–7
Public Museum Middle,6-8,2.5,Grade 8 Math,Academic Achievement,Applicable,M-STEP grades 3–7
Public Museum Middle,6-8,2.6,SAT Benchmark,Academic Achievement,Not applicable,Grade 11 SAT
Public Museum Middle,6-8,2.7,WIDA Growth,Academic Achievement,Applicable,District ENDS measure
Public Museum Middle,6-8,3.1,Chronic Absence,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Public Museum Middle,6-8,3.2,Suspension,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Public Museum Middle,6-8,3.3a,Belonging — MI Student Voice,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Public Museum Middle,6-8,3.3b,Belonging — Panorama,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Ridgemoor Park Montessori,PK-6,1.2a,Graduation Rate,Graduation & Advancement,Not applicable,High-school graduation outcome
Ridgemoor Park Montessori,PK-6,1.2b,On-Track Credits,Graduation & Advancement,Not applicable,High-school postsecondary readiness
Ridgemoor Park Montessori,PK-6,1.3a,SAT EBRW Mean,Graduation & Advancement,Applicable,District ENDS measure
Ridgemoor Park Montessori,PK-6,1.3b,SAT Math Mean,Graduation & Advancement,Applicable,District ENDS measure
Ridgemoor Park Montessori,PK-6,1.4a,AP Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Ridgemoor Park Montessori,PK-6,1.4b,AP Exam Completion,Graduation & Advancement,Applicable,District ENDS measure
Ridgemoor Park Montessori,PK-6,1.4c,AP Exam Passing,Graduation & Advancement,Applicable,District ENDS measure
Ridgemoor Park Montessori,PK-6,1.10,Postsecondary Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Ridgemoor Park Montessori,PK-6,2.2,NWEA MAP Growth,Academic Achievement,Applicable,K–8 growth/achievement
Ridgemoor Park Montessori,PK-6,2.3a,M-STEP ELA,Academic Achievement,Applicable,District ENDS measure
Ridgemoor Park Montessori,PK-6,2.3b,M-STEP Math,Academic Achievement,Applicable,District ENDS measure
Ridgemoor Park Montessori,PK-6,2.4,Grade 3 Reading,Academic Achievement,Applicable,M-STEP grades 3–7
Ridgemoor Park Montessori,PK-6,2.5,Grade 8 Math,Academic Achievement,Applicable,M-STEP grades 3–7
Ridgemoor Park Montessori,PK-6,2.6,SAT Benchmark,Academic Achievement,Not applicable,Grade 11 SAT
Ridgemoor Park Montessori,PK-6,2.7,WIDA Growth,Academic Achievement,Applicable,District ENDS measure
Ridgemoor Park Montessori,PK-6,3.1,Chronic Absence,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Ridgemoor Park Montessori,PK-6,3.2,Suspension,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Ridgemoor Park Montessori,PK-6,3.3a,Belonging — MI Student Voice,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Ridgemoor Park Montessori,PK-6,3.3b,Belonging — Panorama,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Shawmut Hills,PK-5,1.2a,Graduation Rate,Graduation & Advancement,Not applicable,High-school graduation outcome
Shawmut Hills,PK-5,1.2b,On-Track Credits,Graduation & Advancement,Not applicable,High-school postsecondary readiness
Shawmut Hills,PK-5,1.3a,SAT EBRW Mean,Graduation & Advancement,Applicable,District ENDS measure
Shawmut Hills,PK-5,1.3b,SAT Math Mean,Graduation & Advancement,Applicable,District ENDS measure
Shawmut Hills,PK-5,1.4a,AP Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Shawmut Hills,PK-5,1.4b,AP Exam Completion,Graduation & Advancement,Applicable,District ENDS measure
Shawmut Hills,PK-5,1.4c,AP Exam Passing,Graduation & Advancement,Applicable,District ENDS measure
Shawmut Hills,PK-5,1.10,Postsecondary Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Shawmut Hills,PK-5,2.2,NWEA MAP Growth,Academic Achievement,Applicable,K–8 growth/achievement
Shawmut Hills,PK-5,2.3a,M-STEP ELA,Academic Achievement,Applicable,District ENDS measure
Shawmut Hills,PK-5,2.3b,M-STEP Math,Academic Achievement,Applicable,District ENDS measure
Shawmut Hills,PK-5,2.4,Grade 3 Reading,Academic Achievement,Applicable,M-STEP grades 3–7
Shawmut Hills,PK-5,2.5,Grade 8 Math,Academic Achievement,Applicable,M-STEP grades 3–7
Shawmut Hills,PK-5,2.6,SAT Benchmark,Academic Achievement,Not applicable,Grade 11 SAT
Shawmut Hills,PK-5,2.7,WIDA Growth,Academic Achievement,Applicable,District ENDS measure
Shawmut Hills,PK-5,3.1,Chronic Absence,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Shawmut Hills,PK-5,3.2,Suspension,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Shawmut Hills,PK-5,3.3a,Belonging — MI Student Voice,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Shawmut Hills,PK-5,3.3b,Belonging — Panorama,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Sherwood Global Studies,PK-6,1.2a,Graduation Rate,Graduation & Advancement,Not applicable,High-school graduation outcome
Sherwood Global Studies,PK-6,1.2b,On-Track Credits,Graduation & Advancement,Not applicable,High-school postsecondary readiness
Sherwood Global Studies,PK-6,1.3a,SAT EBRW Mean,Graduation & Advancement,Applicable,District ENDS measure
Sherwood Global Studies,PK-6,1.3b,SAT Math Mean,Graduation & Advancement,Applicable,District ENDS measure
Sherwood Global Studies,PK-6,1.4a,AP Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Sherwood Global Studies,PK-6,1.4b,AP Exam Completion,Graduation & Advancement,Applicable,District ENDS measure
Sherwood Global Studies,PK-6,1.4c,AP Exam Passing,Graduation & Advancement,Applicable,District ENDS measure
Sherwood Global Studies,PK-6,1.10,Postsecondary Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Sherwood Global Studies,PK-6,2.2,NWEA MAP Growth,Academic Achievement,Applicable,K–8 growth/achievement
Sherwood Global Studies,PK-6,2.3a,M-STEP ELA,Academic Achievement,Applicable,District ENDS measure
Sherwood Global Studies,PK-6,2.3b,M-STEP Math,Academic Achievement,Applicable,District ENDS measure
Sherwood Global Studies,PK-6,2.4,Grade 3 Reading,Academic Achievement,Applicable,M-STEP grades 3–7
Sherwood Global Studies,PK-6,2.5,Grade 8 Math,Academic Achievement,Applicable,M-STEP grades 3–7
Sherwood Global Studies,PK-6,2.6,SAT Benchmark,Academic Achievement,Not applicable,Grade 11 SAT
Sherwood Global Studies,PK-6,2.7,WIDA Growth,Academic Achievement,Applicable,District ENDS measure
Sherwood Global Studies,PK-6,3.1,Chronic Absence,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Sherwood Global Studies,PK-6,3.2,Suspension,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Sherwood Global Studies,PK-6,3.3a,Belonging — MI Student Voice,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Sherwood Global Studies,PK-6,3.3b,Belonging — Panorama,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Sibley,PK-5,1.2a,Graduation Rate,Graduation & Advancement,Not applicable,High-school graduation outcome
Sibley,PK-5,1.2b,On-Track Credits,Graduation & Advancement,Not applicable,High-school postsecondary readiness
Sibley,PK-5,1.3a,SAT EBRW Mean,Graduation & Advancement,Applicable,District ENDS measure
Sibley,PK-5,1.3b,SAT Math Mean,Graduation & Advancement,Applicable,District ENDS measure
Sibley,PK-5,1.4a,AP Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Sibley,PK-5,1.4b,AP Exam Completion,Graduation & Advancement,Applicable,District ENDS measure
Sibley,PK-5,1.4c,AP Exam Passing,Graduation & Advancement,Applicable,District ENDS measure
Sibley,PK-5,1.10,Postsecondary Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Sibley,PK-5,2.2,NWEA MAP Growth,Academic Achievement,Applicable,K–8 growth/achievement
Sibley,PK-5,2.3a,M-STEP ELA,Academic Achievement,Applicable,District ENDS measure
Sibley,PK-5,2.3b,M-STEP Math,Academic Achievement,Applicable,District ENDS measure
Sibley,PK-5,2.4,Grade 3 Reading,Academic Achievement,Applicable,M-STEP grades 3–7
Sibley,PK-5,2.5,Grade 8 Math,Academic Achievement,Applicable,M-STEP grades 3–7
Sibley,PK-5,2.6,SAT Benchmark,Academic Achievement,Not applicable,Grade 11 SAT
Sibley,PK-5,2.7,WIDA Growth,Academic Achievement,Applicable,District ENDS measure
Sibley,PK-5,3.1,Chronic Absence,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Sibley,PK-5,3.2,Suspension,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Sibley,PK-5,3.3a,Belonging — MI Student Voice,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Sibley,PK-5,3.3b,Belonging — Panorama,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Southeast Career Pathways,9-12,1.2a,Graduation Rate,Graduation & Advancement,Applicable,High-school graduation outcome
Southeast Career Pathways,9-12,1.2b,On-Track Credits,Graduation & Advancement,Applicable,High-school postsecondary readiness
Southeast Career Pathways,9-12,1.3a,SAT EBRW Mean,Graduation & Advancement,Applicable,District ENDS measure
Southeast Career Pathways,9-12,1.3b,SAT Math Mean,Graduation & Advancement,Applicable,District ENDS measure
Southeast Career Pathways,9-12,1.4a,AP Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Southeast Career Pathways,9-12,1.4b,AP Exam Completion,Graduation & Advancement,Applicable,District ENDS measure
Southeast Career Pathways,9-12,1.4c,AP Exam Passing,Graduation & Advancement,Applicable,District ENDS measure
Southeast Career Pathways,9-12,1.10,Postsecondary Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Southeast Career Pathways,9-12,2.2,NWEA MAP Growth,Academic Achievement,Not applicable,K–8 growth/achievement
Southeast Career Pathways,9-12,2.3a,M-STEP ELA,Academic Achievement,Applicable,District ENDS measure
Southeast Career Pathways,9-12,2.3b,M-STEP Math,Academic Achievement,Applicable,District ENDS measure
Southeast Career Pathways,9-12,2.4,Grade 3 Reading,Academic Achievement,Not applicable,M-STEP grades 3–7
Southeast Career Pathways,9-12,2.5,Grade 8 Math,Academic Achievement,Not applicable,M-STEP grades 3–7
Southeast Career Pathways,9-12,2.6,SAT Benchmark,Academic Achievement,Applicable,Grade 11 SAT
Southeast Career Pathways,9-12,2.7,WIDA Growth,Academic Achievement,Applicable,District ENDS measure
Southeast Career Pathways,9-12,3.1,Chronic Absence,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Southeast Career Pathways,9-12,3.2,Suspension,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Southeast Career Pathways,9-12,3.3a,Belonging — MI Student Voice,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Southeast Career Pathways,9-12,3.3b,Belonging — Panorama,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Southwest Community Campus Elementary,PK-6,1.2a,Graduation Rate,Graduation & Advancement,Not applicable,High-school graduation outcome
Southwest Community Campus Elementary,PK-6,1.2b,On-Track Credits,Graduation & Advancement,Not applicable,High-school postsecondary readiness
Southwest Community Campus Elementary,PK-6,1.3a,SAT EBRW Mean,Graduation & Advancement,Applicable,District ENDS measure
Southwest Community Campus Elementary,PK-6,1.3b,SAT Math Mean,Graduation & Advancement,Applicable,District ENDS measure
Southwest Community Campus Elementary,PK-6,1.4a,AP Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Southwest Community Campus Elementary,PK-6,1.4b,AP Exam Completion,Graduation & Advancement,Applicable,District ENDS measure
Southwest Community Campus Elementary,PK-6,1.4c,AP Exam Passing,Graduation & Advancement,Applicable,District ENDS measure
Southwest Community Campus Elementary,PK-6,1.10,Postsecondary Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Southwest Community Campus Elementary,PK-6,2.2,NWEA MAP Growth,Academic Achievement,Applicable,K–8 growth/achievement
Southwest Community Campus Elementary,PK-6,2.3a,M-STEP ELA,Academic Achievement,Applicable,District ENDS measure
Southwest Community Campus Elementary,PK-6,2.3b,M-STEP Math,Academic Achievement,Applicable,District ENDS measure
Southwest Community Campus Elementary,PK-6,2.4,Grade 3 Reading,Academic Achievement,Applicable,M-STEP grades 3–7
Southwest Community Campus Elementary,PK-6,2.5,Grade 8 Math,Academic Achievement,Applicable,M-STEP grades 3–7
Southwest Community Campus Elementary,PK-6,2.6,SAT Benchmark,Academic Achievement,Not applicable,Grade 11 SAT
Southwest Community Campus Elementary,PK-6,2.7,WIDA Growth,Academic Achievement,Applicable,District ENDS measure
Southwest Community Campus Elementary,PK-6,3.1,Chronic Absence,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Southwest Community Campus Elementary,PK-6,3.2,Suspension,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Southwest Community Campus Elementary,PK-6,3.3a,Belonging — MI Student Voice,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Southwest Community Campus Elementary,PK-6,3.3b,Belonging — Panorama,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Southwest Community Campus Middle/High,7-12,1.2a,Graduation Rate,Graduation & Advancement,Applicable,High-school graduation outcome
Southwest Community Campus Middle/High,7-12,1.2b,On-Track Credits,Graduation & Advancement,Applicable,High-school postsecondary readiness
Southwest Community Campus Middle/High,7-12,1.3a,SAT EBRW Mean,Graduation & Advancement,Applicable,District ENDS measure
Southwest Community Campus Middle/High,7-12,1.3b,SAT Math Mean,Graduation & Advancement,Applicable,District ENDS measure
Southwest Community Campus Middle/High,7-12,1.4a,AP Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Southwest Community Campus Middle/High,7-12,1.4b,AP Exam Completion,Graduation & Advancement,Applicable,District ENDS measure
Southwest Community Campus Middle/High,7-12,1.4c,AP Exam Passing,Graduation & Advancement,Applicable,District ENDS measure
Southwest Community Campus Middle/High,7-12,1.10,Postsecondary Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Southwest Community Campus Middle/High,7-12,2.2,NWEA MAP Growth,Academic Achievement,Applicable,K–8 growth/achievement
Southwest Community Campus Middle/High,7-12,2.3a,M-STEP ELA,Academic Achievement,Applicable,District ENDS measure
Southwest Community Campus Middle/High,7-12,2.3b,M-STEP Math,Academic Achievement,Applicable,District ENDS measure
Southwest Community Campus Middle/High,7-12,2.4,Grade 3 Reading,Academic Achievement,Applicable,M-STEP grades 3–7
Southwest Community Campus Middle/High,7-12,2.5,Grade 8 Math,Academic Achievement,Applicable,M-STEP grades 3–7
Southwest Community Campus Middle/High,7-12,2.6,SAT Benchmark,Academic Achievement,Applicable,Grade 11 SAT
Southwest Community Campus Middle/High,7-12,2.7,WIDA Growth,Academic Achievement,Applicable,District ENDS measure
Southwest Community Campus Middle/High,7-12,3.1,Chronic Absence,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Southwest Community Campus Middle/High,7-12,3.2,Suspension,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Southwest Community Campus Middle/High,7-12,3.3a,Belonging — MI Student Voice,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Southwest Community Campus Middle/High,7-12,3.3b,Belonging — Panorama,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Union High,9-12,1.2a,Graduation Rate,Graduation & Advancement,Applicable,High-school graduation outcome
Union High,9-12,1.2b,On-Track Credits,Graduation & Advancement,Applicable,High-school postsecondary readiness
Union High,9-12,1.3a,SAT EBRW Mean,Graduation & Advancement,Applicable,District ENDS measure
Union High,9-12,1.3b,SAT Math Mean,Graduation & Advancement,Applicable,District ENDS measure
Union High,9-12,1.4a,AP Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Union High,9-12,1.4b,AP Exam Completion,Graduation & Advancement,Applicable,District ENDS measure
Union High,9-12,1.4c,AP Exam Passing,Graduation & Advancement,Applicable,District ENDS measure
Union High,9-12,1.10,Postsecondary Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Union High,9-12,2.2,NWEA MAP Growth,Academic Achievement,Not applicable,K–8 growth/achievement
Union High,9-12,2.3a,M-STEP ELA,Academic Achievement,Applicable,District ENDS measure
Union High,9-12,2.3b,M-STEP Math,Academic Achievement,Applicable,District ENDS measure
Union High,9-12,2.4,Grade 3 Reading,Academic Achievement,Not applicable,M-STEP grades 3–7
Union High,9-12,2.5,Grade 8 Math,Academic Achievement,Not applicable,M-STEP grades 3–7
Union High,9-12,2.6,SAT Benchmark,Academic Achievement,Applicable,Grade 11 SAT
Union High,9-12,2.7,WIDA Growth,Academic Achievement,Applicable,District ENDS measure
Union High,9-12,3.1,Chronic Absence,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Union High,9-12,3.2,Suspension,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Union High,9-12,3.3a,Belonging — MI Student Voice,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Union High,9-12,3.3b,Belonging — Panorama,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
