School,GradeSpan,MeasureID,Measure,Domain,Applicability,Reason
City Middle/High,7-12,3.3a,Belonging — MI Student Voice,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
City Middle/High,7-12,3.3b,Belonging — Panorama,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Coit Creative Arts,PK-5,1.2a,Graduation Rate,Graduation & Advancement,Not applicable,High-school graduation outcome
Coit Creative Arts,PK-5,1.2b,On-Track Credits,Graduation & Advancement,Not applicable,High-school postsecondary readiness
Coit Creative Arts,PK-5,1.3a,SAT EBRW Mean,Graduation & Advancement,Applicable,District ENDS measure
Coit Creative Arts,PK-5,1.3b,SAT Math Mean,Graduation & Advancement,Applicable,District ENDS measure
Coit Creative Arts,PK-5,1.4a,AP Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Coit Creative Arts,PK-5,1.4b,AP Exam Completion,Graduation & Advancement,Applicable,District ENDS measure
Coit Creative Arts,PK-5,1.4c,AP Exam Passing,Graduation & Advancement,Applicable,District ENDS measure
Coit Creative Arts,PK-5,1.10,Postsecondary Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Coit Creative Arts,PK-5,2.2,NWEA MAP Growth,Academic Achievement,Applicable,K–8 growth/achievement
Coit Creative Arts,PK-5,2.3a,M-STEP ELA,Academic Achievement,Applicable,District ENDS measure
Coit Creative Arts,PK-5,2.3b,M-STEP Math,Academic Achievement,Applicable,District ENDS measure
Coit Creative Arts,PK-5,2.4,Grade 3 Reading,Academic Achievement,Applicable,M-STEP grades 3–7
Coit Creative Arts,PK-5,2.5,Grade 8 Math,Academic Achievement,Applicable,M-STEP grades 3–7
Coit Creative Arts,PK-5,2.6,SAT Benchmark,Academic Achievement,Not applicable,Grade 11 SAT
Coit Creative Arts,PK-5,2.7,WIDA Growth,Academic Achievement,Applicable,District ENDS measure
Coit Creative Arts,PK-5,3.1,Chronic Absence,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Coit Creative Arts,PK-5,3.2,Suspension,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Coit Creative Arts,PK-5,3.3a,Belonging — MI Student Voice,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Coit Creative Arts,PK-5,3.3b,Belonging — Panorama,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Congress,PK-5,1.2a,Graduation Rate,Graduation & Advancement,Not applicable,High-school graduation outcome
Congress,PK-5,1.2b,On-Track Credits,Graduation & Advancement,Not applicable,High-school postsecondary readiness
Congress,PK-5,1.3a,SAT EBRW Mean,Graduation & Advancement,Applicable,District ENDS measure
Congress,PK-5,1.3b,SAT Math Mean,Graduation & Advancement,Applicable,District ENDS measure
Congress,PK-5,1.4a,AP Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Congress,PK-5,1.4b,AP Exam Completion,Graduation & Advancement,Applicable,District ENDS measure
Congress,PK-5,1.4c,AP Exam Passing,Graduation & Advancement,Applicable,District ENDS measure
Congress,PK-5,1.10,Postsecondary Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Congress,PK-5,2.2,NWEA MAP Growth,Academic Achievement,Applicable,K–8 growth/achievement
Congress,PK-5,2.3a,M-STEP ELA,Academic Achievement,Applicable,District ENDS measure
Congress,PK-5,2.3b,M-STEP Math,Academic Achievement,Applicable,District ENDS measure
Congress,PK-5,2.4,Grade 3 Reading,Academic Achievement,Applicable,M-STEP grades 3–7
Congress,PK-5,2.5,Grade 8 Math,Academic Achievement,Applicable,M-STEP grades 3–7
Congress,PK-5,2.6,SAT Benchmark,Academic Achievement,Not applicable,Grade 11 SAT
Congress,PK-5,2.7,WIDA Growth,Academic Achievement,Applicable,District ENDS measure
Congress,PK-5,3.1,Chronic Absence,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Congress,PK-5,3.2,Suspension,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Congress,PK-5,3.3a,Belonging — MI Student Voice,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Congress,PK-5,3.3b,Belonging — Panorama,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
